
> @yodev/ads@0.1.0 test:coverage
> vitest run --coverage


 RUN  v4.1.10 /Users/yoannandrieux/Projets/yodev-ads/web
      Coverage enabled with v8


 Test Files  153 passed (153)
      Tests  1067 passed (1067)
   Start at  04:41:16
   Duration  9.38s (transform 4.22s, setup 0ms, import 34.41s, tests 4.01s, environment 11ms)

 % Coverage report from v8
-------------------|---------|----------|---------|---------|-------------------
 google-ads.ts     |   89.19 |    87.15 |   92.85 |    92.8 | ...1737,2211,2323
 ...-management.ts |     100 |    81.91 |     100 |     100 | ...39,271,325-347
 job-runner.ts     |   85.84 |    77.95 |   88.88 |   87.32 | ...18-519,585,605
 job-scheduler.ts  |   90.58 |    74.46 |      80 |   96.05 | 144,146-150
 jobs.ts           |   98.61 |    96.73 |     100 |     100 | 184,246,258
 ...rd-creation.ts |   53.12 |    48.48 |     100 |   62.96 | ...49-50,81-82,93
 ...email-model.ts |   95.45 |    83.33 |     100 |     100 | 41,88
 ...ic-coverage.ts |     100 |    94.73 |     100 |     100 | 14
 ...c-sync-plan.ts |     100 |    92.85 |     100 |     100 | 25-26
 metrics-sync.ts   |   93.39 |    88.13 |     100 |     100 | ...,93,97-113,117
 ...bservations.ts |   98.41 |    98.27 |     100 |     100 | 83
 ...g-scan-jobs.ts |     100 |    91.66 |     100 |     100 | 20
 ...g-scan-plan.ts |   86.95 |    78.57 |     100 |   83.33 | 11-13
 ...g-workflows.ts |   95.31 |    84.61 |     100 |     100 | ...24-127,157,183
 monitoring.ts     |     100 |    98.03 |     100 |     100 | 129,145
 ...tion-impact.ts |   95.55 |    80.28 |    92.3 |   94.87 | 77,101
 ...observation.ts |   95.65 |    97.56 |     100 |     100 | 27
 ...bservations.ts |   97.29 |     82.5 |     100 |     100 | 34-78
 ...ry-recovery.ts |     100 |       96 |     100 |     100 | 48,75
 ...-management.ts |   97.67 |    77.77 |     100 |     100 | 21-53,100
 notifications.ts  |   96.64 |    85.47 |     100 |     100 | ...18,331-349,375
 oauth-state.ts    |   97.36 |    98.03 |     100 |   97.05 | 83
 ...tional-runs.ts |     100 |    97.14 |     100 |     100 | 51
 ...alert-model.ts |     100 |     87.5 |     100 |     100 | 9
 pacing.ts         |   90.47 |       85 |   81.25 |   95.65 | 176,210,233,236
 ...diagnostics.ts |   94.59 |    78.84 |     100 |   96.61 | 128-129
 ...nce-history.ts |     100 |       80 |     100 |     100 | 29
 ...-management.ts |     100 |     87.5 |     100 |     100 | 70
 ...form-status.ts |      90 |     62.5 |     100 |     100 | 24-28
 ...n-readiness.ts |   97.26 |    98.94 |     100 |   96.92 | 24,144
 ...t-workflows.ts |   78.31 |    61.84 |   83.33 |   78.87 | 104-120
 rate-limit.ts     |     100 |    95.65 |     100 |     100 | 39
 ...le-mutation.ts |   98.78 |    94.38 |     100 |     100 | 60,65,106,140,161
 ...l-readiness.ts |     100 |    75.86 |     100 |     100 | 30-36
 ...tion-access.ts |   95.45 |    92.59 |     100 |     100 | 20-21
 ...rt-editions.ts |    2.24 |        0 |       0 |    2.89 | 15-30,36-149
 ...-management.ts |     100 |    92.85 |     100 |     100 | ...55,230,258,278
 report-otp.ts     |     100 |    93.75 |     100 |     100 | 20
 ...-scheduling.ts |   89.18 |    70.37 |     100 |     100 | 23,39-79
 run-monitoring.ts |     100 |    95.45 |     100 |     100 | 83,85
 ...led-reports.ts |   86.25 |    72.94 |    87.5 |   96.72 | 66-68
 ...et-rotation.ts |    98.3 |    66.66 |     100 |     100 | 33,130
 ...-read-probe.ts |   91.42 |     91.3 |     100 |     100 | 37-44
 ...y-redaction.ts |    86.2 |       75 |      80 |     100 | 23-34
 slack-oauth.ts    |   96.87 |      100 |   83.33 |     100 |
 ...plan-change.ts |      98 |    91.66 |     100 |     100 | 14,25,84
 ...onciliation.ts |   98.48 |    92.85 |     100 |   98.03 | 58
 ...ook-service.ts |   85.71 |    67.22 |   91.66 |   88.52 | ...33-234,362,433
 ...-management.ts |      90 |       50 |     100 |     100 | 21-34
 ...tifications.ts |   92.68 |    84.61 |     100 |   96.87 | 24
 ...email-model.ts |     100 |    86.36 |     100 |     100 | 19,21,24
 ...-management.ts |   91.66 |    80.55 |     100 |     100 | ...51,163,201-204
 ...tifications.ts |     100 |    96.55 |     100 |     100 | 36
 ...rt-workflow.ts |    92.3 |    94.11 |     100 |     100 | 20
 system-health.ts  |     100 |    90.47 |     100 |     100 | 47,49,53,55
 ...-operations.ts |   93.54 |    70.73 |     100 |     100 | 27-152,232-233
 ...ation-model.ts |      90 |    77.77 |     100 |     100 | 18-19,40,59
 ...tifications.ts |   91.37 |     87.5 |   91.66 |   95.65 | 147-151
 task-workflow.ts  |   86.66 |    83.33 |     100 |   93.54 | 63-64
 teams-oauth.ts    |   85.71 |       70 |      80 |    94.8 | 126-129
 tokens.ts         |      90 |      100 |   85.71 |   88.88 | 30
 ...diagnostics.ts |   98.11 |    94.89 |   93.33 |      98 | 55
 ...ional-email.ts |   85.89 |    76.81 |   93.33 |    92.3 | ...62-163,173-174
 vercel-domains.ts |   75.47 |    76.74 |   61.53 |   77.27 | 42-50,78-79,82
 ...ok-security.ts |   95.45 |    95.69 |   86.95 |     100 | 13,91,134-141
 ...ce-deletion.ts |   98.87 |    92.64 |     100 |     100 | 58,98,134,163,210
 ...-management.ts |     100 |    90.47 |     100 |     100 | 24,78-90,133
 ...pace-export.ts |     100 |    92.59 |     100 |     100 | 247,360
 ...-management.ts |     100 |    81.81 |     100 |     100 | ...25-128,157,182
 ...ace-members.ts |   91.42 |    73.33 |     100 |     100 | 156-157,203-289
 ...y-resources.ts |     100 |    86.88 |     100 |     100 | ...62,191,215,238
 ...ce-settings.ts |     100 |       75 |     100 |     100 | 29-33
 ...ask-actions.ts |     100 |    96.77 |     100 |     100 | 37,113
 ...ction-guard.ts |     100 |    85.71 |     100 |     100 | 32
 workspace.ts      |   88.09 |    85.96 |     100 |   90.41 | ...04,155,170-171
 ...ail-webhook.ts |     100 |    91.37 |     100 |     100 | 30,74,83,85,93
-------------------|---------|----------|---------|---------|-------------------

=============================== Coverage summary ===============================
Statements   : 89.76% ( 5488/6114 )
Branches     : 83.77% ( 5059/6039 )
Functions    : 91.36% ( 1195/1308 )
Lines        : 92.7% ( 4703/5073 )
================================================================================
ERROR: Coverage for statements (89.76%) does not meet global threshold (90%)
ERROR: Coverage for branches (83.77%) does not meet global threshold (85%)
